Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
the-perkins-polo,"The Perkins Polo","<p>Our signature fit performance jersey polo. Lightweight yarn-dyed fabric with a soft hand feel and four-way stretch that moves with your swing. UPF 50+ sun protection and moisture-wicking technology keep you cool and protected from the first tee to the nineteenth hole.</p><p>Finished with a structured spread collar and our signature fit — athletic through the chest and shoulders with a clean taper at the waist. Runs true to size.</p><p><strong>Fit:</strong> Signature<br><strong>Fabric:</strong> Performance Jersey<br><strong>Features:</strong> UPF 50+, Moisture-Wicking, 4-Way Stretch, Breathable</p>",Zero Returns,Polo,"golf, polo, performance, signature-fit, bestseller",TRUE,Size,S,ZR-PERKINS-S,200,shopify,25,deny,manual,128.00,,TRUE,TRUE,https://images.pexels.com/photos/6253095/pexels-photo-6253095.jpeg?auto=compress&cs=tinysrgb&w=800,1,The Perkins Polo - Signature Fit Golf Polo,active
the-perkins-polo,,,,,,,,M,ZR-PERKINS-M,200,shopify,25,deny,manual,128.00,,TRUE,TRUE,,,
the-perkins-polo,,,,,,,,L,ZR-PERKINS-L,200,shopify,25,deny,manual,128.00,,TRUE,TRUE,,,
the-perkins-polo,,,,,,,,XL,ZR-PERKINS-XL,200,shopify,25,deny,manual,128.00,,TRUE,TRUE,,,
the-yale-polo,"The Yale Polo","<p>A tailored fit performance polo for the golfer who prefers a sharper, more fitted silhouette. Same premium jersey fabric with a slimmer chest and tapered waist that sits closer to the body without restricting your swing.</p><p>Structured spread collar with internal stays that hold their shape all day. Ideal for players who size down in most brands or prefer a modern European cut.</p><p><strong>Fit:</strong> Tailored — runs approximately one size smaller than our Signature fit. If between sizes, size up.<br><strong>Fabric:</strong> Performance Jersey<br><strong>Features:</strong> UPF 50+, Moisture-Wicking, 4-Way Stretch, Breathable</p>",Zero Returns,Polo,"golf, polo, performance, tailored-fit",TRUE,Size,S,ZR-YALE-S,200,shopify,25,deny,manual,138.00,,TRUE,TRUE,https://images.pexels.com/photos/6255015/pexels-photo-6255015.jpeg?auto=compress&cs=tinysrgb&w=800,1,The Yale Polo - Tailored Fit Golf Polo,active
the-yale-polo,,,,,,,,M,ZR-YALE-M,200,shopify,25,deny,manual,138.00,,TRUE,TRUE,,,
the-yale-polo,,,,,,,,L,ZR-YALE-L,200,shopify,25,deny,manual,138.00,,TRUE,TRUE,,,
the-yale-polo,,,,,,,,XL,ZR-YALE-XL,200,shopify,25,deny,manual,138.00,,TRUE,TRUE,,,
the-rodgers-quarter-zip,"The Rodgers Quarter-Zip","<p>Lightweight enough for a sunrise tee time, polished enough for the clubhouse after. Brushed interior with a heathered exterior that layers effortlessly over any polo. Quarter-zip lets you dial in your comfort as the temperature changes through your round.</p><p>Performance fabric with moisture-wicking technology and four-way stretch. Our signature fit provides a clean, athletic silhouette without excess bulk under a vest or jacket.</p><p><strong>Fit:</strong> Signature<br><strong>Fabric:</strong> Performance Fleece<br><strong>Features:</strong> Moisture-Wicking, 4-Way Stretch, Brushed Interior, Breathable</p>",Zero Returns,Quarter-Zip,"golf, quarter-zip, layering, outerwear",TRUE,Size,S,ZR-RODGERS-S,350,shopify,20,deny,manual,168.00,,TRUE,TRUE,https://images.pexels.com/photos/19915599/pexels-photo-19915599.jpeg?auto=compress&cs=tinysrgb&w=800,1,The Rodgers Quarter-Zip Pullover,active
the-rodgers-quarter-zip,,,,,,,,M,ZR-RODGERS-M,350,shopify,20,deny,manual,168.00,,TRUE,TRUE,,,
the-rodgers-quarter-zip,,,,,,,,L,ZR-RODGERS-L,350,shopify,20,deny,manual,168.00,,TRUE,TRUE,,,
the-rodgers-quarter-zip,,,,,,,,XL,ZR-RODGERS-XL,350,shopify,20,deny,manual,168.00,,TRUE,TRUE,,,
